tag_filename,annotation
65482.txt,"The balcony is on the north side of the house. To the south is the living room, and house exterior to the east, west, and north. It is about 16 feet wide by 4 feet long. The bathroom is on the east side of the house. To the north is the master, to the east is the house exterior, to the south is the common room, and the living room alcove to the west. It is about 10 by 10 feet. The common room is on the east side of the house. To the north is the bathroom and living room alcove. To the east and south are house exterior. To the west is the kitchen, and the living room to the northwest. It is about 15 feet wide by 12 feet long. The kitchen is on the south side of the house. To the north is the living room, to the east is the common room, and house exterior to the south and west. It is about 16 feet wide by 8 feet long. The living room is on the west side of the house. To the north is the balcony, to the south is the kitchen, and house exterior to the west with the main entry centered in the west wall. To the east are the master and common room, and between them is an alcove leading to the bathroom. It is about 16 feet wide by 28 feet long, plus another 5 by 10 feet for the alcove. The master is on the east side of the house. To the north and east are house exterior and to the west is the living room. To the south is the bathroom and the living room alcove. It is about 15 feet by 15 feet. "
9369.txt,"The balcony is 2x10 sq ft and on the south side of the floor plan. The bathroom is on the esast side with 10x6 ft. There is one common room on the north side of the floorplan that leads to the living room but is south of the kitchen. The second common room is on the south side of the floorplan directly across from the master bedroom. Common room is approximately same size as the master bedroom, minus the balcony. Kitchen is on the north east corner of floor plan. Approximately 10Sq ft by 2sqft. The north side of the living room connects to the entry of the kitchen. Living room is in the center of the floorplan. Livingroom is in between the main rooms on the floor with direct access to the bathroom. Master room is on the south side of floor plan with a connecting 2sqft x2sqft balcony on the south side of the floor plan. Master room is approximately 12ft x12ft "
52548.txt,"Balcony location:South Side, Relationship:the location: Next to com2,  Area:50 sqrt feet   Sides: 10 feet width and 5 feet length.. Bathroom 1 location:North Side, Relationship:the location: Between Com1 and Living,  Area:25 sqrt feet   Sides: 5 feet width and 5 feet length.. Location:west Side, Relationship:the location: Between Com1 and master,  Area:25 sqrt feet   Sides: 5 feet width and 5 feet length.. Comon room 1 location:North West Corner, Relationship:the location: Next to bath2, bath,  Area:150 sqrt feet   Sides: 10 feet width and 15 feet length.. Comon room 2 location:South side, Relationship:the location: Next to Master and Living,  Area:100 sqrt feet   Sides: 10 feet width and 10 feet length.. Kitchen location:North Side, Relationship:the location: Next to bath and living,  Area:50 sqrt feet   Sides: 5 feet width and 10 feet length.. Living room location: East side, Relationship:the location: Next to Bath, Kitichen ,COm2,master ,  Area:600 sqrt feet   Sides: 20 feet width and 30 feet length. Master room location:South West corner , Relationship:the location: Next to Com2bath2 ,  Area:200 sqrt feet   Sides: 20 feet width and 10 feet length.. "
71391.txt,The balcony is located at he north eastern corner. It is east of the master room it is north of common room 1. The dimensions are 15ft width by 20ft length. Bathroom 1 is located at the northern wall. It is western wall and east of common room 2. The dimensions are 4ft width by 6ft length. Bathroom 2 is located at the western wall in between the northern and southern wall. It is west of the living room. The dimensions are 4ft width by 4ft length. Common room 1 is located at the south eastern corner. Is east of the kitchen and living room. The dimensions are 15ft width by 20ft length. Common room 2 is located at the north western corner. It is west of bathroom 1 and north of the living room. The dimensions are 12ft width by 15ft length. The kitchen is located at the southern wall. It is east of the living room and west of common room 1. The dimensions are 15ft width by 20ft length. The living room is located at the western wall. It is south of common room 2 and east of bathroom 2. The dimensions are 25ft width by 30ft length. The master room is located at the master wall. It is west of the balcony and east of bathroom 1. The dimensions are 20ft width by 25ft length. 
47623.txt,"balcony1: Balcony 1 is on the South side, with the living room to the north, spanning its width, and common room 1 to the west, exterior wall to the east. It is approximately 10 feet wide by 5 feet deep. balcony2: Balcony2 is on the north side, with the kitchen to the south, and juts out for 3 exterior walls. It is approximately 10 feet wide by 5 feet deep. bathroom: The bathroom is at the north side with the common room 2 to the east, living room to the south and southwest corner, and kitchen to the west. It is approximately 5 feet wide by 15 feet deep. common room 1: Common room 1 is at the southwest corner, jutting out for 3 exterior walls, with living room and balcony to the east. It is approximately 10 feet wide by 12 feet deep. common room 2: Common room 2 is at the northeast corner, with the bathroom to the east, master room to the south, and the living room extension inset into the southwest corner. It is approximately 15 feet wide by 20 feet deep. kitchen: The kitchen is on the west side, with balcony 2 to the north, the bathroom to the east and the living room to the south. It is approximately 10 feet wide by 8 feet deep. living room: The Living room is on the west side, with the kitchen to the north, bathroom, common room 2 and the master room to the west, a balcony spanning the width to the south, and common room 1 at the lower west side. It is approximately 15 feet wide by 25 feet deep and has a centered 5 foot deep extension to the east. master room: The Master room is at the southeast corner, with the living room to the west and northwest corner, and common room 2 to the north. It is approximately 15 feet wide by 20 feet deep. "
51055.txt,"The balconies on the north side of the apartment next to the living room and common room. It is approximately 3â x 25â The bathroom is on the west side of the apartment, between the master room and the common room. It's approximately 5â x 5â The common room is on the west side of the apartment next to the bathroom. It's approximately 10â x 12â The kitchen is on the south side of the apartment next to the master bedroom. It is approximately 10â x 8â The living room is on the east side of the apartment next to the bathroom. It is approximately 15â x 25â The master room it's on the southwest corner of the apartment next to the kitchen. It is approximately 10â x 10â "
3136.txt,"Balcony is in the south side of house .it has common room and master room in north .It's dimensions are 4 feet in length and 24 feet in width. Bathroom is in the east center of house.It has kitchen in north,living room in west and master room in south .It's dimensions are 12 feet in length and 6 feet in width. Common room is in the west side of house .It has living room in north,master room in east and balcony in south .It's dimensions are 13 feet in length and 12 feet in width. Kitchen is in the north east corner of house.It has living room in west and bathroom in south .It's dimensions are 10 feet in length and 8 feet in width. Living room is in the north west side of house.It has kitchen and Bathroom in east,common room and master room in south.It's dimensions are 23 feet in length and 20 feet in width approximately. Master room is in the south east side of house.It has bathroom and living room in north,common room in west and balcony in south.It's dimensions are 13 feet in length and 11 feet in width. "
13500.txt,"Balcony 1 is located on the western most side of the floor plan, south of the kitchen and west of the bathroom.  It is approximately 40 square feet. Balcony 2 is the southern most room in the floor plan.  At approximately 75 square feet, it borders the southern wall of the living room. The bathroom is located directly south of the kitchen.  It centrally located with the living room on its east, kitchen to the north, master bedroom to the south and balcony on its western side.  It is approximately 50square feet and symmetrical in shape. The common room is located in the north eastern corner of the floor plan.  It borders only one other room, the living room on its western side.  It is approximately 200 square feet and symmetrical in shape. The kitchen is located in the north west corner of the floor plan.  It is approximately 50 square feet, with it's north and south walls running 5 feet and its east and west walls running 10 feet.  The living room is immediately to the east of the kitchen, with the bathroom and balcony residing to the south. The living room is the first room immediately on the inside of the entrance door.  The living room is asymmetrical, with it's widest point being approximately 15 feet and the length of the room running approximately 30 feet North and South.  The living room is centrally located, with the common room to the east, and the kitchen and master bedroom residing on its west.  Immediately south of the living room is a balcony. The master bedroom is approximately 130 square feet.  It resides in the southwest corner of the floor plan, accessible via the living room to its east.  the master bedroom is mostly symmetrical except for a extension of its eastern wall towards the living room.  To the immediate north of the master bedroom is the kitchen and bathroom. "
41520.txt,The balcony is located in NORTH AND WEST CORNER SIDE. IN BETWEEN OF LIVING  ROOM AND COMMON ROOM. SIZE IS 20 X 8 SQ FT. The bathroom is located in MIDDLLE OF THE EAST SIDE. IN BETWEEEN OF MASTER ROOM AND LIVING ROOM. SIZE IS 14X 8 SQ FT. The common room is located in MIDDLE OF THE WEST SIDE. IN BETWEEN OF LIVING ROOM AND BALCONY. ROOM SIZE IS 14X10 SQ FT. WEST FACING LIVING ROOM IS LOCATED IN MIDDLE OF THE WEST SIDE. CENTER OF THE ALL OVER ROOMS. SIZE  IS 16 X 14 SQ FT. The master room is located in SOUTH EAST AND SOUTH WEST CORNER  SIDE.  NEAR TO BATHROOM AND LIVING ROOM. SIZE IS 14X 14 SQ FT. 
17766.txt,"The bathroom is located on the northwest corner, It is between master and common , The size of the room is 6  feet width  and 10  feet length The common room is located on the north side, It is next to living room , The size of the room is 8  feet width  and 11  feet length The kitchen is located on the northeast corner, It is  next to common and living room, The size of the room is 8 feet width  and 8  feet length The living room is located on the southeast corner, It is in front of all other rooms , The size of the room is 8 feet width  and 18  feet length The master room is located on the southwest corner, It is next to living room , The size of the room is 10 feet width  and 12  feet length "
